City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
538,Mount Gambier,AU,52.74,overcast clouds,-37.8333,140.7667,The Commodore
539,Riviere-Au-Renard,CA,55.31,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
542,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
543,Sept-Iles,CA,50.52,fog,50.2001,-66.3821,Comfort Inn
544,Barroquinha,BR,78.76,few clouds,-3.0189,-41.1361,Pousada barroquinha
545,Kaihua,CN,60.69,broken clouds,23.3687,104.28,Zhongyu Hotel
546,Koumac,NC,79.59,clear sky,-20.5667,164.2833,Le Monitel
547,Changtu,CN,59.88,clear sky,42.7788,124.0955,Ming Yang Inn
550,Waingapu,ID,76.6,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
552,Abu Samrah,SY,67.3,clear sky,35.3029,37.1841,
553,Shingu,JP,71.29,overcast clouds,33.7333,135.9833,Shingu UI Hotel
555,Mogadishu,SO,77.36,broken clouds,2.0371,45.3438,Hotel Juba
556,Shitanjing,CN,62.4,clear sky,39.2342,106.3439,Yingbin Hotel
557,Antofagasta,CL,58.28,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
560,Monrovia,LR,77.14,broken clouds,6.3005,-10.7969,Sunset Inn
564,Chifeng,CN,59.02,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
565,Warrnambool,AU,52.36,overcast clouds,-38.3833,142.4833,Lady Bay Resort
566,Lingao,CN,79.2,moderate rain,19.9103,109.6859,Lingao Ditai Inn
569,Valverde Del Camino,ES,67.03,clear sky,37.5751,-6.7543,HOTEL MONTEAROMA (ulamde hotelera S.L.)
570,Vao,NC,74.43,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
571,Rio Gallegos,AR,51.48,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
574,Maragogi,BR,73.9,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
575,Axim,GH,75.38,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
576,Saky,UA,67.87,overcast clouds,45.1356,33.6031,Chayka
579,Bari,IT,66.87,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
582,Manggar,ID,79.45,broken clouds,-2.8833,108.2667,Guest Hotel
583,Balikpapan,ID,75.67,overcast clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
584,Saint-Joseph,RE,64.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
585,Cairns,AU,77.11,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
586,Muros,ES,64.09,few clouds,42.7762,-9.0603,Apartment Av. Castelao
589,Los Alamos,US,76.37,broken clouds,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
590,Terra Roxa,BR,61.52,overcast clouds,-23.8557,-50.0314,Propriedade Maristela
592,Khash,IR,66.33,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
597,Sohna,IN,79.03,clear sky,28.25,77.0667,Fly India Adventure Resort
598,Oak Ridge,US,71.46,clear sky,36.0104,-84.2696,DoubleTree by Hilton Hotel Oak Ridge - Knoxville
599,Trincomalee,LK,78.39,moderate rain,8.5711,81.2335,Welcombe Hotel
600,Veraval,IN,78.37,clear sky,20.9,70.3667,Lords Inn Somnath
601,Marathon,US,51.33,overcast clouds,44.9,-89.7668,
602,Lerwick,GB,50.0,light rain,60.1545,-1.1494,The Lerwick Hotel
